"Date","Price","Open","High","Low","Change %"
"Dec 13, 2019","6.9895","6.9641","7.0022","6.9636","0.07%"
"Dec 12, 2019","6.9849","7.0339","7.0408","6.9839","-0.77%"
"Dec 11, 2019","7.0388","7.0354","7.0408","7.0335","0.07%"
"Dec 10, 2019","7.0342","7.0392","7.0426","7.0313","-0.07%"
"Dec 09, 2019","7.0393","7.0334","7.0434","7.0297","0.06%"
"Dec 06, 2019","7.0350","7.0415","7.0499","7.0263","-0.14%"
"Dec 05, 2019","7.0448","7.0503","7.0569","7.0352","-0.07%"
"Dec 04, 2019","7.0499","7.0619","7.0744","7.0469","-0.16%"
"Dec 03, 2019","7.0613","7.0407","7.0614","7.0362","0.31%"
"Dec 02, 2019","7.0393","7.0268","7.0459","7.0266","0.10%"
"Nov 29, 2019","7.0324","7.0327","7.0370","7.0191","-0.04%"
"Nov 28, 2019","7.0354","7.0294","7.0357","7.0254","0.09%"
"Nov 27, 2019","7.0290","7.0245","7.0319","7.0177","-0.06%"
"Nov 26, 2019","7.0335","7.0289","7.0430","7.0259","-0.04%"
"Nov 25, 2019","7.0363","7.0404","7.0404","7.0315","-0.05%"
"Nov 22, 2019","7.0400","7.0262","7.0428","7.0249","0.15%"
"Nov 21, 2019","7.0293","7.0351","7.0451","7.0259","-0.09%"
"Nov 20, 2019","7.0359","7.0317","7.0394","7.0279","0.12%"
"Nov 19, 2019","7.0276","7.0259","7.0303","7.0202","0.02%"
"Nov 18, 2019","7.0260","7.0089","7.0268","7.0089","0.25%"
"Nov 15, 2019","7.0083","7.0201","7.0201","6.9992","-0.18%"
"Nov 14, 2019","7.0208","7.0240","7.0252","7.0143","-0.04%"
"Nov 13, 2019","7.0235","7.0076","7.0273","7.0076","0.22%"
"Nov 12, 2019","7.0079","7.0111","7.0111","6.9962","-0.04%"
"Nov 11, 2019","7.0106","6.9962","7.0122","6.9917","0.21%"
"Nov 08, 2019","6.9961","6.9691","6.9967","6.9676","0.25%"
"Nov 07, 2019","6.9784","6.9985","7.0208","6.9689","-0.28%"
"Nov 06, 2019","6.9981","6.9970","7.0052","6.9909","-0.17%"
"Nov 05, 2019","7.0097","7.0296","7.0316","6.9891","-0.29%"
"Nov 04, 2019","7.0304","7.0328","7.0343","7.0225","-0.10%"
"Nov 01, 2019","7.0375","7.0387","7.0495","7.0347","-0.03%"
"Oct 31, 2019","7.0395","7.0447","7.0507","7.0324","-0.22%"
"Oct 30, 2019","7.0553","7.0652","7.0682","7.0540","-0.15%"
"Oct 29, 2019","7.0658","7.0672","7.0672","7.0526","-0.03%"
"Oct 28, 2019","7.0678","7.0655","7.0693","7.0525","0.04%"
"Oct 25, 2019","7.0653","7.0697","7.0766","7.0624","-0.05%"
"Oct 24, 2019","7.0690","7.0664","7.0732","7.0560","0.05%"
"Oct 23, 2019","7.0656","7.0786","7.0895","7.0655","-0.16%"
"Oct 22, 2019","7.0769","7.0756","7.0840","7.0705","0.01%"
"Oct 21, 2019","7.0762","7.0819","7.0819","7.0662","-0.08%"
"Oct 18, 2019","7.0817","7.0742","7.0885","7.0668","0.06%"
